"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"108";"PV29";"2003JJ00";"      34";"      44";"      38";"      12";"       6";"       0";"       0";"     215";"     169";"      46";"       6";"      28";"      86";"      63";"      23";"      40";"      31";"       9";"     622";"      80"
"109";"PV29";"2005JJ00";"      28";"      39";"      39";"      18";"       4";"       -";"       -";"     195";"     126";"      69";"       7";"      23";"      76";"      63";"      13";"      39";"      32";"       7";"     632";"     105"
"110";"PV29";"2007JJ00";"      28";"      39";"      32";"      21";"       7";"       -";"       -";"     237";"     192";"      44";"       8";"      28";"      67";"      57";"      10";"      29";"      22";"       6";"     839";"     126"
"111";"PV29";"2009JJ00";"      32";"      28";"      41";"      19";"       9";"       3";"       0";"     345";"     236";"     108";"      11";"      11";"      97";"      57";"      40";"      49";"      37";"      12";"     959";"     144"
"112";"PV30";"1995JJ00";"      84";"      31";"      33";"      20";"       8";"       6";"       1";"    1290";"     873";"     417";"      15";"       .";"     450";"     295";"     155";"     332";"     224";"     108";"       .";"       ."
"113";"PV30";"1997JJ00";"      98";"      41";"      29";"      18";"       8";"       3";"       1";"    1284";"     889";"     395";"      13";"       .";"     483";"     303";"     180";"     415";"     271";"     144";"       .";"       ."
"114";"PV30";"1999JJ00";"      88";"      37";"      22";"      23";"      10";"       6";"       2";"    1611";"    1012";"     597";"      18";"      87";"     555";"     388";"     167";"     349";"     260";"      89";"       .";"       ."
"115";"PV30";"2001JJ00";"      78";"      39";"      23";"      21";"       9";"       6";"       3";"    1393";"     937";"     456";"      18";"      78";"     500";"     312";"     189";"     311";"     201";"     110";"    1446";"     187"
"116";"PV30";"2003JJ00";"      80";"      37";"      33";"      15";"      10";"       5";"       1";"    1095";"     622";"     473";"      14";"     140";"     537";"     281";"     256";"     364";"     225";"     139";"    1605";"     178"
"117";"PV30";"2005JJ00";"      70";"      30";"      37";"      14";"      14";"       1";"       3";"    1193";"     730";"     464";"      17";"     217";"     428";"     252";"     176";"     312";"     222";"      90";"    1683";"     243"
"118";"PV30";"2007JJ00";"      81";"      35";"      37";"      14";"      11";"       1";"       2";"    1153";"     653";"     501";"      14";"     218";"     569";"     405";"     164";"     351";"     271";"      80";"    2327";"     387"
